airline_sentiment,clean_text,airline
negative,agent rick clifton seahou told father dying needed get handbag cabin nothing shameful,United
negative,watched crew escorted back st class prebooked really dissatisfaction und,United
positive,thanks yup im set happens slc ground staff prompt helpful courteous,United
negative,plenty empty seats coach dissatisfaction understood crew members traveling duty prebooked f,United
negative,good didnt die anything say get pay,United
positive,thank much able contact,United
positive,maybe return trip,United
negative,staff laguardia lagos nigeria unprofessional uncaring helpful ou,United
positive,got gate thanks checking,United
negative,u kept passengers waiting night plane put service leaving everyone stranded night inexcusable,United
positive,especially like upgraded three crew members first class instead passengers keepitclassy customerservice,United
negative,flt lax ewr pilot bragged getting ewr early wait min jetway driver thanks united,United
negative,happy found phone easily worst system ever heard,United
negative,really hours dont like delays avoid well way asap,United
negative,waited hours airport told one fib cant ual honest customers,United
negative,well yet checked bag already vanished havent left airport yet,United
negative,rapid trip plane ticket idaho california doesnt problems would wonderful,United
negative,agent help point theres problem amp dont want mess somebody elses plans u flow tech team pls,United
negative,delayed hours one hour flight frustrating im also unable get decent meal hournever,United
positive,please went beyond made us number one priority,United
positive,guys awesome thanks,United
positive,thnx,United
negative,think status nothing think bug search system,United
positive,anna palm springs gate deserves medal handled ppl missing flights like pro,United
negative,would appreciate answer werent alerted flight cancelled flighted plane landed showsomerespect,United
negative,wtf delay delay hours yvr san unacceptable flight crew availability blame never,United
negative,think left phone flight help,United
positive,great customer service thanks,United
positive,thanks would awesome,United
negative,hey left computer bag wcomputer inside united filed online report response,United
negative,empty upon takeoff cant someone sit,United
negative,case id requested days ill get response bs,United
positive,na united fave airline,United
negative,thanks formed submitted im betting someone would honest enough turn though,United
negative,difference booked flights want screen shots,United
negative,rebooked hours original flight say handling situation bad would understatement,United
negative,would like supervisor talk waiting flight attendant one walked amp left,United
negative,understanding situation waited opened pm,United
positive,hope see board soon thanks tweet ey,United
negative,curious going finally learn customerservice,United
negative,nice see u sense humor hourdelay want b home ill settle beer safely air course,United
negative,service desk gate helped us find flight get us dest time flight got cancelled flightled,United
negative,thanks answer question want make reservation phone perth hold hrs family,United
negative,wasnt delay much straight cancelled flightlation weather wasnt issue either,United
negative,thanks ruining wedding anniversary flight ua ewr rdu delayed hours reach home nxt day,United
negative,cancelled flightled flight unknown reason havent really given anything make overnight layover tolerable,United
negative,difference responsible position something learn,United
negative,yes flight rebooked im losing trust want get anywhere time,United
positive,thanks keep good work,United
positive,reflight booking problemss last days time united wait time lt seconds kudos excellent customer service,United
negative,solutions,United
negative,im evry st flight take w delayed amp evry nd time missed evry time lastflightofthenight breakup,United
negative,submit complaint line never heard back dont id find,United
negative,cool customer told didnt care either expected,United
negative,freaking worthless hate airline,United
negative,us leave ord time week shameful,United
negative,missed daughter suppose dpt ord pm dpted pm checked weeks average ua shameful day average pm,United
negative,fantastic night waiting hours delayed airplane alert us flight cancelled flighted lands whatstatus,United
negative,delta flight lax compensated rental car,United
negative,missed set hotel flights delayed sfo hours missing wedding festivities friend,United
positive,sent confirmation via dm thank much,United
negative,board customers onto plane pilot thing expedited time line book new flight come,United
positive,would great k us,United
negative,stuck tarmac last hour beer,United
negative,recent services bad nc trip aweful disappointed never,United
negative,freezing gate bridgewaitingforbagsunitedewr,United
negative,landed pm standing waiting bags loaded plane sidewhy isnt crew heretiredcustomer,United
negative,need plane get buffalo leave tonight progress,United
negative,rebooked however would nice wait extra min airport make right,United
negative,enough already poor service old planes ridiculous routing k time find new airline status match,United
negative,waiting hour finally board airplane find call maintenance plane cold,United
negative,broke suitcase amp refuses give repair estimate,United
negative,scheduled flight crew competent person working airline,United
negative,help chicago get gate freezing runway seems like crappy thing pm,United
negative,thanks kp whats going w tonight bad update online phone cant u give customers good info waste time,United
positive,got lost kindle mail thanks,United
negative,knew flight delayed mht alb ewr get crew arrival late flightr departure update site,United
negative,wtf cant update times timely manner youve known fight delayed ur service awful,United
negative,waiting plane long missed connecting flight left early thats last flight tonight help,United
negative,ord gate c flt remember customers valuable hard nice someone lugging guitar amp carryons,United
negative,worst service ever denied access flight moved flight times hard schedule gate next time,United
negative,im denver bag san jose see something wrong,United
negative,know bad youre praying connecting flight delayed hour delay first flight justgetmehome,United
negative,playing hide seek gate cant find minutes,United
negative,flight ord delayed air force one last flight sbn mins landed,United
negative,hrs late flightr still cant figure random text updates embarrassing ua,United
negative,stop picking us cle,United
negative,booked flight sept get best price april usa checked cheaper con unhappy customer ripoff,United
negative,big properly manage flight times thing time least prepared gate land,United
negative,id rather truth flight forced sit day trying get home,United
positive,leaving soon thanks,United
negative,another delayed day delayed outbound delayed inbound waiting ewr gate ready ready,United
negative,cancelled flighted mileage plus award reservation gc day yet see miles back despite agent confirmation,United
negative,gate changes minutes flight roanoke flight sous falls ohare painful,United
negative,nuts said flight ground still albany wont plane someone compensating,United
negative,doumented via link however four months response suggest shall expect one,United
negative,yall zero concept customer service ohand connection delayed,United
negative,curious youd board flight without pilot seems crucial flight process,United
negative,changed crazy youragentshavenoclue,United
negative,never get flight time hour delay earlier another hour delay connecting flight makes straight delays,United
negative,bc delay oversold passengers mess going compensate,United
negative,blamed weather lol wind cloud sky delayed ways x ru kidding charge lb w delays,United
negative,worseoh cant delayed reason way lonflight cancelled flighted reason less days returning,United
negative,flight gate changes top really hoping compensate pointsmileage account,United
negative,contact others flight cant get website work none info valid,United
negative,hour stuck still plane total failure partners ensuring best customer experience,United
negative,silence telling,United
negative,thanks hr delay ground crew landed least didnt break,United
negative,illiterate magic code make customer service site work,United
negative,worst airline ever staff nasty wifi bags delayed due weather belt broken selling ual stock,United
negative,im confused agents directed us go website delays nothing works,United
positive,wonderful time flights ogg msn lost rx eyeglasses thick admiral club chicago morning found,United
negative,minute waitstill gate broken jetway might miss connection,United
negative,see information boarding process kp get group amp reason,United
negative,lost wallet flight yesterday houston bogota filled online form response yet,United
negative,one hour departure time still update,United
negative,following see one experiencing noticing substantial downgrade service post merger,United
negative,minutes waiting gate broken jetway different gate maybe,United
negative,never got flight austin houston time connection ever ever,United
positive,got right safety demonstration corporate funny reserved corny,United
negative,sitting tarmac half hour landing jetway broken daysofunitedfailures thingafteranother,United
negative,look twitter history usual service non existent,United
positive,thanks reply contact customer care get clarification issue,United
negative,make sure make cancelled flighted flight baggage upgrade fees seem like labyrinth might able swindle,United
negative,considered time arriving destination half hour late flightr scheduled,United
negative,thanks trying take money without notice industry cancelled flight service refund issued cont,United
negative,direct phone number status match desk really regret flight booking problems,United
negative,yet disappoint sitting iad ua hrs cant seem know plane hasnt left albany fail,United
negative,still sitting waiting plane hours wasted,United
positive,thanks help wish phone reps could accomidating,United
negative,line getting longer moving slower lady working counter great needs help customerservicefail,United
negative,update flight would great,United
negative,wasting time baggage claim thanks dfw ground crew checked bag without actually checking space frustrated,United
negative,problem flights ny today,United
negative,flight heavy fly back palm springs air mins,United
negative,boarding process sucks learn,United
negative,ouch delays due mechanical issues qro wait yall seem falling apart alwaysdelayed unitedfail,United
negative,fingers crossed capable getting baggage point agtb united airlines,United
negative,happened afternoon huge amt incoming planes sfo delayed hours frustrating,United
negative,way impatience partits untruthful proper systems place,United
negative,maybe person working customer service desk houston airport line rows deep person working,United
positive,ill stick united flight thanks though effort much appreciated,United
negative,survey long fly lot segments ill fill every trip takes minute,United
negative,think hiring baggage attendants ewr waiting bags hr united overchargedampunderserved,United
positive,fair enough dont usually rant good know someones listening,United
negative,telling cancelled flighting flight,United
negative,would hard worse last time im sure youll give shot,United
positive,thank delta transfer bags go,United
positive,happy board please share details kp done,United
negative,service staff less friendly,United
negative,transfer bags,United
negative,comedian promise make fun stage tonight,United
negative,tried got whole characters even done,United
positive,able get moon flight got hotel puerto rico thank,United
negative,us reboard without captain well sitting another min,United
negative,flight houston delayed duecto engine trouble willl hold connection argentina houston since im late flight,United
positive,great appreciate,United
positive,well taken care thanks ive already sent survey request amp ill share positive experience despite delay,United
positive,thanks everything aok,United
positive,dm sent thanks much strong customer service,United
negative,delayed flight slc hours gives snowforce,United
positive,ok thanks sent dm disregard,United
positive,excited put earlier flight get home woo hoo travel,United
negative,airline joke person working special services ewr line ppl deep grow,United
negative,concerned close club paid alot last flight p construction going inconvenient,United
positive,perfect thank,United
negative,care less person although walked away complaining man p lax club,United
negative,smiling,United
negative,worst airline world delays gate agent loses mind lbs charges top already paid,United
negative,wed prefer everyone hear complaints amount airline,United
negative,bother surveying,United
negative,worst airline ever legs travel officially done time vocab im taking premier status,United
negative,donna juan still best united club_ bad ual get,United
negative,want contact someone question amp put hold minutes order hung sent pet line,United
negative,keeps delaying flight horrible customer service,United
positive,best pilots ever thank guys great trip thatisall,United
negative,really think downgrading boozefood selections club good way go look,United
negative,guys atrocious far better service silver delta platinum ill switching back delta,United
positive,thank,United
positive,thanks making sure hear message,United
negative,denied called got hung speaks manager second call,United
negative,club den east west disgusting,United
negative,installed working kicked hour wouldnt let back four wasted hours,United
negative,thats tried entering email nd device made email typo way fix amp option log outin,United
negative,hrs told guess theyve apparently bag hrs call,United
positive,home next hrs gfc,United
positive,thank,United
positive,admit app good lots useful func live seat map congrats,United
negative,still waiting bags web still cant tell location come tell u given minute,United
negative,seriously waiting hours plane flight leave pm leave plane great great,United
positive,kind cool run boss man sfo,United
positive,got call bag delivered tonight thanks reply,United
positive,global first class lounge ord menu yummy,United
positive,pleasantly surprised quality service flightflew lgacleden friendly crew love concept byod worksnicely,United
negative,like hearing havent replied tweet andor email yet,United
negative,rude grouchy agent dulles checkin got hour trip lousy start needs nap something,United
negative,k use special people group one board global k together,United
negative,thats didnt read entire tweet wifes pm flight delayed thats hour flight delays weeks,United
negative,always helps communicate customers,United
negative,im sure,United
negative,help customers couldnt meet subsequently lost,United
positive,thank address,United
negative,problem laptop phone,United
negative,question given food vouchers cant use planehow come,United
negative,wifi ewr lounge reminds old days dial,United
negative,needs pay car could flight help desks say already left shame,United
negative,long characters,United
negative,bossf waivers business cancelled flighted due weather beforeafter flexibilitycompassion extreme circumstances,United
negative,tried already amp tried forgetting wifi network connection still forces log incorrect email suggestions,United
negative,see tweeting little min ago ignoring cs request cantlogoutofunitedwifi,United
negative,mean,United
negative,hrs yet,United
negative,anyone awake paying wifi iphone need using laptop logout option wifi flight time wasting,United
negative,great job answering public messages direct private messages much,United
negative,work customer support extremely saddened united wont waive change fee flights cancelled flight due east coast storms,United
negative,hows refund coming along,United
negative,another fcking delay past hours,United
negative,sfo hnl zero entertainment systemsyouareonyourown,United
negative,log wifi flight dont see option made typo logging help,United
negative,flight ua sfo burbank delayed twice still plane sight get together,United
negative,saying truth dont even email,United
negative,mr shes way thought id detail extravaganza dobetter please,United
negative,followed baggage rules website still charges going one way,United
negative,sent dm hours ago,United
negative,need track lost luggage shipped need ph human automated,United
negative,weighed checked bag,United
negative,nonrefundable hence wrote doesnt make sense credit nothanks,United
negative,website day yesterday tried x put info inampdidnt go thru today flight bought went,United
negative,realize wife waiting delayed flight moment im sure understand tweet,United
negative,im minor freaking bc might make connecting flight hawaii yes im frustrated,United
positive,sorry ended us air flight thank though getting back,United
negative,denied sure charge one way way hime,United
negative,even change could made online instructed call agent maybe syastem allow agents link passengers,United
negative,case id,United
negative,airbus seats awful dont recline,United
negative,dm follow im plus theyre options thats fly epicfail,United
positive,great way start vacation time departure looking forward global first class suite,United
negative,sitting plane hour scheduled takeoff without cloud sky keepusguessing isthisyourfirsttry,United
positive,thank responding promptly look forward kms drive office file claim,United
positive,would great,United
negative,airplane otherwise would call police flight take ham,United
negative,huh sent crash reports feb alone one day app consistently crashes,United
negative,abused threatened forced travel lower cabine last seat yesterdays flight houston sao paulo,United
positive,youre welcome,United
negative,contacted yesterday told theres nothing suggested email compensation cust service,United
negative,unfortunately doesnt help automated computer,United
positive,flt ewr sfo excellent service friendly flight attendants made flight good start day,United
positive,yes instagram,United
negative,airlines delayed flight way chicago leaving chicago next time,United
negative,inquire nothing itpretend theyre interested responded dm response back,United
negative,must stop relationship youve become greedy heartless long term relationship,United
negative,customer service lacking owe camera also appreciate interrupted every time speak thanks,United
negative,get refund would like book better airline,United
negative,call discuss told united phone contact passengers absurd,United
negative,messaged requested called baggage team still newark please help let know next steps,United
negative,guess thats busiest route based trafficfuel costs regional jet decision still great travelers,United
negative,flight delayed minutes ord plane didnt food fixed future dumb delay,United
negative,need chat actual human asap,United
negative,got email saying changes mileageplus account confirmed didnt make changes help,United
positive,joni great job flight lax thanks great flight,United
positive,far good stepped denver next stop portland,United
negative,disappointed service missing connection hour delay cramped seats least app good,United
negative,joke hang customers,United
negative,charged one way baggagefind others leaving pittsburgh equipment werent charged hung,United
positive,orthodoc oncall inflight glad service,United
negative,publicly asked details flt sent dm like asked yet days hear unitedfail,United
positive,flight attendant regains karma giving big sweaty dad cold water guy running amp carrying daughter last one onboard,United
negative,really hoping get help th attempt get resolution lost count transfers help please mileageplus,United
negative,sent dm file reference number want know someone located bag even yet,United
positive,want shout thank pilots staff feb flight newark boston pm super helpful,United
negative,help ua cant take without missing galley cart one find pax seated last hour,United
negative,doesnt make sense ive k years youre making harder keep loyal,United
negative,need get cousin pdx shes days travel weve hire sitters til arrives thx,United
positive,keep flights cheap earlyon time good flew cancelled flightled flight times last month unitedgt,United
negative,premier desk able rebook friends problem pay checked bag,United
negative,thought nothing happened,United
negative,im booked return flight,United
negative,flt ord correct per dm flight ord cvg charged incorrectly,United
negative,need change way customer service handled waiting supervisor contact days gives,United
negative,need talk actual person missing luggage please advise make happen,United
negative,know see estimated time dep dont understand wasnt better estimate hrs ago,United
negative,trick making us look popular twitter worst airline wellplayed jokesonus,United
negative,request refund charge twice first place,United
negative,ill calling soon going tomorrow like shows app good option,United
negative,ive filled form twice email lost item code verify received,United
positive,message sent thank,United
negative,thats told refund doesnt really makeup inconvenience caused missed meeting,United
negative,please explain need pay bag fees twice equally delayed flight resulted bags rechecked overnight,United
negative,watched entire uncvsduke game tarmac cancelled flighting flight crew timed right hr flight,United
negative,reflight booking problems would made reach time meeting also didnt wan na take chance booked instead,United
negative,vacation days relevant ritz pr night losing day idiots sleeping newark ramada priceless,United
negative,time spent night trying sleep toddler bed airport ramada without luggage kidnapped furious,United
negative,calling check future flight first agent hung sent pet travel line hell,United
negative,fyi siteapp still shows plenty unavailable flights errors almost hrs sellout flying,United
negative,sure youve saying long ive tweeting obsolete fleet promises free,United
positive,followed messaged thanks much help,United
negative,please consider letting flyers overhead bin items boarddeplane first first class make sense,United
negative,never flying unitedairlines ever checked bags lbs angrycustomer unitedairlinessuck,United
positive,thanks jt,United
positive,thank la something special,United
negative,flight turned around mechanical reasons never fly united dont check planes properly,United
negative,customary upgrade flight attendant uniform vs passengers one b flt iah,United
negative,really addressed somewhere website find completely irritating amp unable take flight,United
negative,ua hr mechanical delay get voucher tweet book next trip ua,United
negative,spends minutes beating lady bag fees random stranger comes pays fee randomactsofcorporategreed,United
negative,hii still waiting refund ridiculousor u approve tickets u give refundplease advise wht going,United
negative,thanks mr got rebooked already lost first class seat life,United
negative,booked flight yesterday appeared account confirm email since hours disappeared err segment,United
negative,boarding cant agents phone taking care k travellers link reservations,United
negative,ewr ppl told call xday since monday still layover loc ref tho help appreciated,United
negative,ruth helpful rerouting us punta cana dulles connection failed reps helpful,United
positive,thank,United
negative,booked time called told confirmed linked even make changes rez,United
negative,board flight cancelled flight doesnt pilot miss meeting atlanta someone slept,United
negative,response weeks since complaint submitted days since said would look,United
negative,thx come hell high water,United
negative,worried cold weather snow would delay us morning pilots stillwaiting,United
negative,rushed degree weather get airport time bad pilots didnt stillwaiting,United
positive,thanks quick reply fill form idnumber hopetogetanswersoon,United
negative,handed slip paperampsaid call called xday trying get sent still layover airporthave ref tho,United
positive,thats fine ill take,United
negative,recap bounced flight lied hung supposed thinkdo,United
positive,thank second flight already got bumped st love,United
negative,said would need get supervisor waiting supervisor hung,United
negative,called lady overseas call center said saw note explained situationagain,United
negative,could access seat map said would note upgrade itinerary call back late flightr,United
negative,spoke someone feedback line last night said would get preferred choice seat today,United
positive,goods ill call tomorrow thanks,United
negative,loses luggage loses reservation hour travel day want get,United
negative,oh flight fine lost luggage much looks like ill least half day late flight conference santa monica,United
negative,h flight without working screen friend possible move another place unitedfailsworsttripofmylife,United
negative,gj flight didnt wifi even though promised ground crew anotherdisappointment,United
negative,gj agree hours late flight arrival unacceptable hope pray bag,United
negative,unhappy uniteds service read ralph naders open letter uals ceo leave comment rt,United
negative,best seats paying customers get board first badcustomerservice,United
negative,happens time united pilots always exit row america treats customers better employees,United
negative,yes got gate specifically asked seats discouraging walk past crew,United
positive,omg thank u,United
negative,unavailable leg registered hours sold option offer min ticket travelocity,United
negative,error message said couldnt process request last step seat selection leg agent unaware,United
negative,soon going wait time gate empty msp airport flight min still counting,United
negative,horrible wait time get gate shows total miss management value customer time respect thier sentiment,United
negative,disappointed service starting gate operator bos rude stopping carryon bag,United
negative,service sucks mexico houston finally realized snacks inst dont work cheap,United
negative,guy flight follows threat sue couldnt carry bags defend free,United
negative,pls post video belligerent jerk ranting sfo thats hes going sue making check rd bag hes hoot,United
negative,gj believe hands worst service ive ever experienced makes look amazing unitedairlines,United
positive,please give special thanks aaron tampa office helping literally two hours hes amazing mission accomplished,United
negative,cant tellpurchase website put us lufthansa flight first leg,United
negative,gj funny attendant recommended tweeting letting know subpar customer service runaround,United
negative,b gates far though,United
negative,ua ric ua ord amp ua den delayed nonweather issues way go youre batting hotels,United
negative,would made hadnt already booked another flight cancelled flighted original reservation,United
negative,book reward travel august everything blacked,United
positive,win,United
negative,trying change flight booked hours ago online system charging fee per passenger could please help,United
negative,submitted complaint need compensated long take,United
negative,horrific flight experience guys made never want fly airplane every,United
positive,flight rsw tonight amp twin year olds pilot row stayed help get boys amp bags lifesaver,United
negative,flying united oversorry captain still minutes preflight preparations make sat air,United
positive,yes thx landed,United
negative,get clue kmm miler response give,United
negative,trying get emails talking business people expect airline wifi,United
negative,tried already cancun one delivered,United
negative,illegal breach contract touch customer feedback,United
negative,way treat customers lot issues worth headache went thru,United
negative,yes ewr corrected fact beought us share rooms unexpactable,United
negative,please review fix baggage procedures dulles happens every week sister travels airline,United
negative,nothing else gj customer service,United
negative,oh im rebooked hours original arrival time talk compensation,United
negative,coworker conflict hotel issue trying share posted facebook page erased,United
negative,lost parents luggage cancun said would delivered hotel pm almost pm,United
negative,watched connecting flight den pull away gate pull gate slapintheface,United
negative,versions row window go ahead check well wait,United
negative,im pretty sure ive got shin splits sprinting iah watch plane pull away jet way,United
negative,well income flight dca take us ewr delayed made us miss connection fll yes hotels necessary,United
negative,please stop cancelled flightling flights trying get home take two exams tomorrow youve cancelled flightled flights,United
negative,amp ive hung twice staff upset right,United
negative,hour flight fll ewr waiting hour plus bags sign yet gives,United
negative,better airline continental service fee flight booking problems fee talk human fee fu,United
negative,despicable spoke many diff people amp everyone telling something different claim need bag,United
negative,come crew traveling flight gets better seat get stuck checking bag crews bag got flight,United
negative,funny thing happened arrived flight denver gate currently scheduled depart sydney lol,United
positive,forgot intl flights lax dont go intl terminal easiest recheck ever woo,United
negative,cant claim weather hardworking crew pulling seats plane right thing know wont,United
negative,youre missin point weather youre lying seats broken u claim weather get hotels classy,United
negative,trying break world record delayed flights year,United
positive,okay thank help,United
negative,captain said pm flight san francisco delayed due weather ua departs failagain,United
positive,thanks,United
negative,bet doesnt turn thirty minute delay original flight hour delayed arrive time,United
positive,best way reunite one true love shopping usas fashion capital newyork unitedvusa,United
negative,final destination booked united quantas united yet contacted auckland unaware case id number,United
negative,worst flying experiences ever past three days airline needs get together lost customer,United
negative,yes,United
negative,customerservice fail long time flyer switching airlines frustrated,United
positive,okay thanks help jt appreciate time,United
negative,screwed professor maybe tell everyone aviation airport airline innovation startups tech,United
negative,right thing reinstate tickets voided unitedfail,United
negative,negative done wasting time amateurs customer service thanks least offering,United
positive,weeks ago awesomebright vibrant habitrails,United
positive,worries everyone boarded cushions brought took made,United
positive,good flight thank,United
negative,dm hold customer service long time min getting runaround thanks,United
negative,im asking simplify communications thx,United
positive,yes lhrt lounge fantastic us ones could remotely similar,United
negative,omg bag yyzua enough shenanigans already getting real old real quick,United
negative,long take miles repurchased expired show recieved email request,United
negative,please stall flight ord get sna tonight,United
positive,thanks,United
negative,get gate ua turrible,United
negative,worst airline lost luggage delayed flights unaccomidating,United
positive,officially favorite airline created magic day friendlyskies careyon,United
positive,wonderful flight attendant named leah us lga den den anchorage,United
positive,protected flight gate agent kerry las also excellent job getting destination today thanks,United
positive,staff deck cabin ua sfo gt bos exceptional today please tell well done,United
negative,mean real live person somewhere go speak newark post security,United
negative,talked themon standby tomorrow doesnt look good may stay till friday amp thats guaranteed,United
negative,plz dont advertise wifi gon na work thanks worstflightever,United
negative,apologize president employees blamed heard repeated times,United
negative,change fee exact flight atlhou charge math doesnt add,United
negative,hello im overseas amp bag lost cant call customer service help,United
positive,landing anchorage way fairbanks,United
negative,knew shouldve flew lol,United
negative,ua ewrmco feb wifi never connected allowed purchase access twice amp charged need file claim,United
positive,thnx,United
positive,admit youve rather good years youve still got hooked peace,United
positive,kinda funny worries,United
negative,feedback concerns via site arent going improve poor airport experiences,United
negative,dropped bags newark desk guy rudest customer facing person met even two children shocked,United
positive,great looking forward response dm,United
negative,quite enjoyable except hes stuck runway houston,United
positive,thank getting daughter home cancelled flightled flights nashville,United
positive,thanks reupgrade st class may min flight appreciated,United
negative,makes total sense except flight wasnt full ive got empty seats around amp overheads half open boarded,United
negative,trying get san juan chicago ohare lots problems may get standby flight,United
negative,well sortawe r trying get aquadilla pr flight goes day booked ua cancelled flighted flight nj,United
negative,cost change city origin flight costs customerservicefail,United
positive,done thnx,United
negative,im still frustrated gave seat amp promised travel certificate withheld wo explanation,United
negative,got ta love giving st class upgrade bc flight delayed get another flight also delayed ensure make connection,United
negative,sure happened msp yesterday unhappy bag delayed sat msp hrs b delivery,United
negative,im flying way back rarely fly lets see better,United
negative,almost like punished living near large metro area ewr top ranked domestic delays good,United
positive,honestly stopped trying report things via website laugh flights work miles accrue im sure cosmetic,United
negative,thanks weather understandable every single domestic flight delayed inbound intl flights crazy,United
positive,houstonbogota boarding safety first seems mechanics fixed problem faster good energy fly homefamily,United
negative,tag number luggage taken weigh scale appears sent conveyor belt without tag,United
positive,reported still istanbul moment apparently plane haha hats pilot,United
positive,hey awesome thanks reply filling form,United
negative,flying tomorrow mexico us mileage tkts dont show k status help,United
negative,correct date,United
negative,phone reps none could see rebooked missed flighttold go standby nonexistent late flightr flight hurt,United
negative,report filed airport police th th februaryi police case number required,United
negative,cant dm youre following lly rebooked ua still need seats,United
negative,supervisor situation stacey took detailsno claim number given us,United
negative,hour since boarding began still sitting gate ua,United
negative,tks reply psp employees blamed late flight departure potus main reasons dvr flt late flight amp insufficient ground crew handle,United
negative,took one window also fun get motion sick,United
positive,pilots fa ground personnel great job weather blame talk,United
negative,find text funny considering still sitting seats need changed,United
negative,houstonbogota engine problem mechanics trying fix problem safety first better change plane,United
negative,thanks makes sense annoying cant determined better,United
negative,blame giving time get drunk tell feel overpriced sub par airline,United
negative,idea u dont want us frustrated dont cancelled flight flights crew overflowed toilet get plumber,United
negative,patient luxurious middle seat next delayed flight,United
negative,patient agent explains booked new flight plane doesnt arrive,United
negative,please help trace luggage put without name tag february albuquerque airport,United
negative,patient let string tweets go showing people bad business,United
negative,think guys half full flight held overbooked pm flight fill one cancelled flightled mine,United
negative,thanks ill fill form one reads responds,United
negative,patient refused switch flight bc checked bag cancelled flightled one,United
negative,sent dm last week suit regarding error response given please answer dm tell send suit,United
positive,try standby denver tonight cancelled flight father son trip till next year thx trying,United
negative,wrote got nothingand us simple thingwill ypu provide compensation delay,United
negative,dont want customers frustrated thank patience jt lovely sentiment one,United
negative,different departure arrival updates ua hr please,United
negative,nope really window f one one none sad,United
negative,vegan meals creative noodles peas zukes nonvegan yogurt acceptable vegan better,United
positive,well thanks charging switching two cancelled flightled flights anyway pretty nice stillmakingmepoorthough,United
positive,well john hughes birthday stick w plane amp hold trains amp automobiles gate workers well,United
negative,son left tablet plane country call easily email contact,United
negative,show new program beneficial longstanding loyal consumers,United
negative,hear blah blah blah shoulda used buy ticket instead amp ill driving flying,United
negative,yes supposed pm board meeting tomorrow fingers crossed,United
negative,thanks letting switch flights bc checked bag cancelled flighting flight forcing take another hrs late flightr,United
positive,thank love united flights today,United
positive,thanks checking,United
negative,informed dont reimburse issues due weather flights keep getting cancelled flightledthor hates,United
negative,midland couldnt get bags connect intl flight sydney get em la amp check em,United
negative,may last time fly airline,United
negative,company motto care heard several times employees clients past week idonotcare,United
negative,tell staff lax boarded group end queue gold member thanks nothing,United
negative,missing crew passenger doc problems frozen toilets plane give money back ua,United
positive,fantastic job people today ua dublin jam packed plane crew wonderful,United
negative,min departure one waiting pressed ground staffer threatened want get sf today fail,United
negative,flying lax sfo system wont let check site tells tell,United
negative,btw managed time departures time destination amp wouldnt take away year old kids bag,United
positive,go ahead live premium cabins im heaven en route lhr,United
negative,feeling poor churchmouse level dollars enough make grown man cry im grown man tears happened,United
negative,sure plane hour late flight ontime departure ship sailed away long time back,United
negative,ua mligtden miss connection ua dengtyeg due delay,United
negative,come airline flights last year makes check carryon even gate checkbaggage claim,United
negative,change airports actually get flight flight fay cancelled flightled twice taxi ride rdureimburse,United
negative,yes course treat customer recourse,United
negative,stunned bags hartford ord ground crew hour move bags yards,United
negative,someone assist dms waiting hour phone hours twitter,United
negative,flight overbooked offered voucher wait amp take another flight gate agent switched retracted voucher offer,United
positive,thank,United
positive,thanks helpful understand reduced price seats sold checkin priority certificates,United
negative,million miler ive delayed plenty never amateurish way id embarrassed affiliated,United
negative,airlines claims low fare guarantee wont honor lower fare found,United
negative,another delayed united flight surprised upset im mostly disappointed cancelled flight trip dad,United
negative,still cant dm lh,United
positive,thank margo houstons bush intercontinental getting home earlier,United
negative,booked flights w saw prices time searched wasnt least bit frustrating customerservice,United
negative,thanks didnt want see weve started flight search fare amp rules itinerary changed,United
negative,cats flight delayed hour arriving hawaii amp wont able pick tomorrow,United
negative,mind getting next flight,United
negative,youve lost bags least nobody done anything help absurd,United
negative,whats reduction e k longer confirm e forget upgrades want legroom unitedfail,United
negative,offered voucher switch flights voucher offer doesnt exist amp gate agent switched delayed flight,United
negative,usually like flying guys fee use credit seems ridiculous notcool exhorbitantfees,United
negative,thanks much missing bag nonexistent staff apparent remote outpost busy airport city,United
negative,friend lost luggage flight,United
positive,sweet follow back ill get dm,United
positive,good next flight little delayed worked,United
negative,boarded ua refused carrying overhead bag space plane loads space fail customerexperience,United
negative,get act right lost customers staff wouldnt let us take approved carryon half empty flight,United
negative,held almost minutes promised free movies didnt work neither wifi paid boo,United
negative,nice partners delays keep increasing every min,United
negative,ua admit clue flight leave denver unfriendlyskies,United
negative,yep long waiting phone managed rebook hope pleasent one thanks ur help,United
negative,worst experience ever flying,United
negative,ua inbound flight dep time gets closer push back min youve hrs,United
negative,flight mke ord getting delayed gate attendant communicating,United
negative,plane sounds like dj scratching normal eventually new entertainment fee,United
negative,trust united future flight booking problemss confirmed ticketed purchased ticket cancelled flightled fact,United
negative,rebooked one late flight,United
negative,nd late flight flight today,United
negative,u miss first leg ur flight pay hundreds keep second leg much keep earned miles,United
negative,iad buf incredibly loud like third world inner city metro bus lowstandards,United
positive,boeing star alliance short finals l amazing winters morning avgeek,United
negative,days one flight roundtrip,United
positive,blown away stellar custserv thank lt,United
negative,overall experience flying friendly,United
negative,good start would warm plane departure time flight isnt delayed due frozen water lines,United
negative,annnnddddd im going lose first class seat flight shuffle,United
positive,nicest gate attendant newark airport gate right multiple delays still pleasant everyone,United
negative,hour mechanical delaykilling,United
negative,every time check bag airline im confident wearing clothes days please prove wrong,United
negative,thanks united running water late flight flight grand rapids denver,United
negative,kn allowing bypass receipt refund request form never received receipt email charged,United
